Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
22	109999	3.6572596752643585	6.090952	23.122643	176.51764	-1.0	62.473015	161.15948	544.9263	-1.0	2.6952298	0.48501706	3.9835079	0.6504774	2.0759997	-2.694965	0.16240159	0.04565716	-0.01347809	0.0017962729	0.4892313	0.15024026	-0.0145496065	0.0021055602
23	114999	3.8975657759110134	12.457775	37.40601	168.6123	-1.4728625	325.1579	251.71945	538.4648	-1.0	2.8951976	0.40162265	6.9801884	1.3036608	2.087315	-2.8732364	0.16125534	0.040844597	-0.013468498	0.0016830531	0.4973042	0.16332865	-0.01356454	0.0019804747
24	119999	4.1089276026354895	16.096659	45.17448	207.0996	-1.0	209.55637	240.99579	518.084	-1.0	2.981338	0.37944645	4.069316	1.3485188	1.6715174	-2.9309263	0.15920155	0.040009588	-0.012876568	0.001810184	0.4922213	0.14553085	-0.0129223205	0.002009893
25	124999	4.321647357079718	21.555567	57.49879	325.0029	-1.0	213.2457	228.79861	506.49164	-1.0	3.1065857	0.37578192	4.242437	1.492096	1.5594069	-3.0348802	0.1567729	0.04101179	-0.012777632	0.0015314615	0.4880974	0.13894734	-0.011357398	0.0023659
26	129999	4.584655004474852	31.32682	76.34175	349.63303	-1.0	394.9274	185.01624	496.32175	-1.0	3.2851102	0.3093989	4.387901	2.1613207	2.7797434	-3.1847227	0.15124582	0.034724124	-0.013774487	0.0014849477	0.485531	0.1168978	-0.008002478	0.0022046615
27	134999	4.7888862637016505	21.851694	56.242126	329.4486	-1.0	181.89534	211.28047	498.09152	-1.0	3.1268997	0.31525272	4.199838	1.7855841	1.3677403	-3.0088112	0.14750414	0.03961765	-0.011961194	0.0016745324	0.49030152	0.14153679	-0.0056512346	0.0020363093
28	139999	4.9472689811388655	26.20207	85.512535	547.00323	-1.0	10.843088	16.255802	48.682175	-1.0	3.0747437	0.32898033	4.0698805	1.6767973	1.3583559	-2.9484367	0.14606449	0.037805073	-0.012373601	0.0018807248	0.48657286	0.14158428	-0.0025871897	0.0023070057
29	144999	5.106106225318379	13.954378	53.48293	349.21423	-3.0522678	7.3140473	10.457535	22.26032	-1.0	3.241779	0.3537127	4.4105926	1.927432	1.2190474	-3.1089396	0.14534551	0.030336276	-0.014444356	0.0026315947	0.4813708	0.13781281	-0.0012402795	0.0020629137
30	149999	5.306843152377341	6.4135838	27.57128	220.57306	-1.0	149.52362	215.53456	491.56912	-1.0	3.5640109	0.34163785	4.6251903	1.4913896	1.17435	-3.428262	0.14112754	0.020147113	-0.015488402	0.0018591821	0.47123232	0.091564335	-0.0008619836	0.0023326066
31	154999	5.522373246881697	8.952673	49.478916	488.51065	-1.0	194.1248	227.34314	488.8929	-1.4624197	3.9444015	0.36351454	5.245166	2.4328065	1.1065623	-3.8128984	0.13892871	0.016743701	-0.0149766	0.001726094	0.46255997	0.07531727	-0.002060426	0.002302963
