Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
23	114999	3.6423838239245945	14.801744	19.152962	80.871574	-1.0	55.71355	57.852154	131.82942	-1.474991	10.111841	0.5019623	29.200773	8.484279	11.523129	-10.06726	0.2042255	0.08850394	0.003951031	0.0026261567	0.8530359	0.2402092	-0.017663311	0.0023402988
24	119999	3.805793418950505	15.762085	21.509516	75.322014	-1.4645977	102.92234	70.780655	168.81073	-1.0	10.060989	0.3925651	11.416163	8.728861	2.9964302	-10.014071	0.20231266	0.0995008	0.007985072	0.0024034623	0.8512477	0.26668707	-0.020214017	0.0014187655
25	124999	3.9715498330195746	17.916388	27.557072	97.92103	-1.0	109.65884	142.52962	496.03882	-1.0	10.118369	0.38782567	11.658487	8.541065	2.9887068	-10.072977	0.19940124	0.09782567	0.00740971	0.0021115115	0.8453797	0.24870741	-0.0250318	0.0023381063
26	129999	4.140353699326515	23.078772	29.91945	102.673836	-1.0	118.538315	110.68202	390.1239	-1.0	10.303767	0.37293428	11.514284	8.919741	2.8510463	-10.262486	0.19334807	0.10028733	0.010118802	0.0029060617	0.8393709	0.23288162	-0.029857902	0.001660826
27	134999	4.333260810905033	32.490166	49.95514	204.1266	-1.0	182.34985	203.13336	532.7532	-1.0	10.507861	0.40361986	11.784402	1.0315967	15.655653	-10.4703	0.18890491	0.12571225	0.014497252	0.0022052038	0.83885276	0.26569027	-0.03306181	0.0015020837
28	139999	4.604410656955507	232.51945	214.8013	513.6229	38.981304	352.90353	157.47604	515.6424	92.794655	11.024755	0.46050122	12.570091	9.294913	3.0877016	-11.020069	0.18260486	0.1264199	0.018206686	0.0026031416	0.82536817	0.24869438	-0.03049624	0.002564021
29	144999	4.805854917897118	32.39288	40.7769	125.442894	-1.0	233.1363	210.5944	546.66235	-1.0	11.772582	0.37230065	12.988464	7.688241	3.5583954	-11.767373	0.17650743	0.12564248	0.018898763	0.0023596617	0.80444354	0.23942846	-0.027649049	0.0014909043
30	149999	4.959457021951676	31.360065	46.455402	241.199	-1.0	45.876945	64.12563	166.67908	-1.0	12.243977	0.36155695	13.406657	10.935993	5.8131666	-12.235582	0.17115664	0.124208555	0.019523129	0.002246905	0.7989022	0.24897377	-0.02571973	0.001866166
31	154999	5.2232594813903175	47.367073	65.72071	231.59157	-1.7326554	365.1188	124.28908	449.89362	-1.0	12.469618	0.35653067	13.81782	11.005636	6.823667	-12.451248	0.16641828	0.12087554	0.019206293	0.0023105575	0.7921182	0.24124262	-0.022336142	0.002263127
32	159999	5.440245021979014	43.037426	57.18768	219.54831	-1.0	251.94685	190.57726	463.2935	-1.0	12.525566	0.45496598	13.685177	-7.267068	10.813929	-12.499936	0.16481109	0.11971974	0.016304025	0.0025617306	0.7828492	0.24406286	-0.014709636	0.0021509188
33	164999	5.6520194305313955	40.713486	56.15579	185.27936	-1.0	228.64816	204.05833	481.53558	-1.0	12.505644	0.38050404	14.113576	10.987912	2.7402194	-12.468497	0.15749423	0.089495875	0.015417389	0.0023387875	0.76287127	0.17951995	-0.009496149	0.0018695752
34	169999	5.838302227258683	99.42441	128.48798	471.15692	-1.0	155.04904	145.74954	410.5161	-1.0	12.308665	0.40497288	13.634846	10.72199	3.7217817	-12.262386	0.15991265	0.099216536	0.015554257	0.0020617514	0.7567042	0.18921694	-0.0065432624	0.0013895227
35	174999	6.058237193690406	92.65965	139.49843	473.22437	-1.0	307.36798	196.43803	538.6743	-1.0	12.090919	0.4027404	13.35271	10.692939	2.252636	-12.040954	0.16251133	0.100732066	0.01826	0.0021746256	0.74647343	0.20835589	-0.0033465005	0.0015056287
36	179999	6.318445991608832	111.29763	151.76912	457.80917	-1.0	443.95117	160.23978	638.11017	-1.0	12.170453	0.4153002	13.3700905	4.3753247	5.547063	-12.1188965	0.15861146	0.08322757	0.020551296	0.0022076264	0.73086995	0.18123685	-0.002049445	0.0012158008
37	184999	6.511806467374166	61.087162	107.351875	385.64987	-1.0	208.8364	209.02933	519.7942	-1.0	12.293179	0.40256846	13.677058	10.722104	2.8793476	-12.247357	0.15475787	0.07003885	0.020840054	0.0021983564	0.72606283	0.17507717	-0.0021205395	0.0012254205
38	189999	6.773230701287588	52.168976	83.66833	310.47772	-1.0	497.77728	184.65532	637.8712	-1.0	12.433696	0.4044095	15.241204	10.722064	2.1256602	-12.3803215	0.15344678	0.070558056	0.022232346	0.0022576447	0.7222212	0.16715185	-0.0021043073	0.0013227174
39	194999	6.9420080213414295	36.56841	46.21561	177.17622	-1.0	159.89551	247.2286	865.6596	-1.0	12.687152	0.40337542	14.031052	10.488166	10.243299	-12.632173	0.15113989	0.063699886	0.024303189	0.002499922	0.7169662	0.15098503	-0.002965684	0.0014629577
40	199999	7.177028432753351	51.747288	121.92261	633.86743	-1.0	436.95816	277.374	807.77094	-1.0	13.039961	0.40779817	14.302802	11.61624	1.8792535	-12.989635	0.14981179	0.061280224	0.022629606	0.0027423794	0.7190189	0.15473002	-0.005501474	0.0018481556
41	204999	7.369993868139055	43.432793	58.4236	253.33972	-1.0	178.67282	180.84637	461.65155	-1.0	13.373835	0.42623714	20.321209	9.812241	35.232323	-13.316391	0.14800678	0.051794935	0.022002548	0.0028669816	0.7066944	0.13062137	-0.010649957	0.0024974204
42	209999	7.63452519138654	339.2759	128.07828	480.60315	196.66805	614.0081	220.80977	897.2425	182.63095	13.71826	0.40765536	14.959795	11.781626	1.900271	-13.660859	0.14833356	0.0521522	0.024308003	0.003025998	0.71542645	0.13134426	-0.013298725	0.0019505522
43	214999	7.859257999128766	179.90413	223.85223	643.9457	-1.0	419.7807	350.64478	996.7661	-1.0	13.9436	0.4418154	22.80598	5.643945	6.919857	-13.87524	0.14941582	0.050009478	0.022624008	0.0033920244	0.71346897	0.13993251	-0.0143776415	0.0017487461
44	219999	8.079154924352963	213.75212	238.44716	651.98914	-1.0	644.0815	494.22855	1185.8309	-1.0	14.259847	0.42035502	16.061829	12.866247	2.431323	-14.193215	0.14794189	0.042630397	0.019012585	0.0035505714	0.717416	0.11416483	-0.014400647	0.0017745021
45	224999	8.335308246678776	293.71872	357.29437	936.8456	-1.0	941.9579	337.9447	1212.3511	-1.0	14.916826	0.5451747	17.226582	12.25441	10.289105	-14.844175	0.1481886	0.054622713	0.012027155	0.0042137858	0.71260107	0.13318628	-0.011638053	0.0017708108
