Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
23	114999	4.148682533436351	957.057	12.892792	969.9498	944.16425	1102.369	102.82552	1223.1729	951.8912	32.01228	1.6275008	37.173508	25.957354	2.1345296	-31.98635	0.15348174	0.003373965	0.015288324	0.0025581596	0.4882684	0.011096607	-0.025234783	0.0015362028
24	119999	4.350917687747214	897.2122	44.648827	954.5128	845.5889	963.5086	386.0108	1205.9893	-127.29487	33.19385	1.5348761	38.354645	26.234463	2.0519857	-33.151627	0.14968017	0.003520514	0.018296992	0.002301714	0.49921954	0.008886765	-0.026006998	0.0014528135
25	124999	4.552780951990021	1117.7627	8.552185	1126.3148	1109.2104	1069.4698	112.601906	1189.0116	936.11475	34.561626	1.4712348	38.95879	27.276724	1.8631701	-34.502575	0.14851995	0.0032491	0.016935037	0.0021825898	0.5103878	0.008441206	-0.02622479	0.0015286072
26	129999	4.754995272954305	986.0207	36.173748	1033.4266	945.6649	1099.1605	85.42819	1206.898	998.2243	35.611538	1.3879126	40.212727	29.650019	1.8360418	-35.541855	0.1480253	0.003680286	0.015920239	0.0024906578	0.5195611	0.0066092103	-0.024839338	0.0016470699
27	134999	4.956811971598201	994.63544	8.572876	1003.2083	986.06256	979.91064	107.97715	1121.1844	799.1373	36.26424	1.3227015	40.34739	30.545961	1.5743841	-36.178288	0.1471687	0.0032676142	0.014935408	0.0025359592	0.52291936	0.0061156913	-0.02467921	0.0017073549
28	139999	5.158496347202195	1008.4014	119.23585	1144.7662	854.3164	1032.7462	86.70215	1153.7235	903.22485	37.352882	1.2518529	41.069202	32.368496	1.5888158	-37.26815	0.1476202	0.0033823098	0.012922827	0.0020935147	0.5308515	0.006601703	-0.025160033	0.0016850425
29	144999	5.360831298364533	1000.7571	1.2962952	1002.05334	999.46075	1111.6515	93.46089	1247.8938	975.9766	37.79314	1.1432306	41.02953	33.122738	1.5534447	-37.697056	0.14443454	0.0034628296	0.015984518	0.0026180784	0.5350112	0.00586885	-0.025029616	0.0015762914
30	149999	5.562598859204186	1120.8053	35.06513	1159.102	1074.3739	1043.998	88.82822	1178.814	947.44476	38.06728	1.0839605	41.412647	33.138084	1.3315293	-37.963108	0.14218955	0.0039004786	0.018730761	0.0028489132	0.5380663	0.005775091	-0.024824679	0.0016448166
31	154999	5.764770527283351	873.06635	225.93045	1043.2097	553.7826	1127.4724	87.55454	1242.4502	1021.0457	38.32632	1.0653168	41.176216	33.42474	1.4872156	-38.2176	0.1377763	0.0029965343	0.020644626	0.0022157878	0.5404934	0.0057171257	-0.022739109	0.0020171737
32	159999	5.961201750040054	1046.2979	0.10589601	1046.4038	1046.192	1069.0941	202.67503	1228.6056	495.5551	38.36435	1.0930147	41.372993	33.720356	1.3891307	-38.257683	0.13380565	0.002832067	0.020802626	0.0021618328	0.5437499	0.0055921236	-0.02187816	0.0017920786
