Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
23	114999	4.0722520901097194	84.06276	100.590004	317.3623	-6.51761	543.0399	451.68433	1267.7864	-1.0	10.206432	0.7382475	12.344404	7.3940525	7.6615295	-10.149267	0.19441934	0.032243304	0.008553026	0.0035419133	0.6663124	0.33645082	0.063995875	0.0029093695
24	119999	4.28523492720392	97.36625	112.94959	520.77527	-1.0	516.3097	541.77704	1448.5109	-1.0	10.517947	0.708671	12.760978	7.1029577	6.4963756	-10.448381	0.19234434	0.029499669	0.0045810686	0.0030234647	0.66610074	0.3293328	0.063629635	0.0027737021
25	124999	4.498260631693734	52.93019	323.90594	409.2411	-1116.734	581.01514	594.5361	1392.2085	-1.0	10.15734	0.88149047	12.926054	6.508755	6.615041	-10.0388	0.19376877	0.03161877	0.0049459175	0.0030036562	0.66282004	0.32271785	0.06493839	0.0029429297
26	129999	4.727979334129228	90.452805	117.33081	463.74722	-1.0	720.75214	544.5654	1435.8827	-1.0	9.544939	0.94872427	12.330019	5.3883653	7.050019	-9.409147	0.19186802	0.022364119	0.0050727236	0.002938546	0.650529	0.3007932	0.064148694	0.0028197663
27	134999	4.970737033751276	165.5868	215.9918	802.6432	-1.0	844.20374	475.6474	1339.0125	-1.0	9.5489645	0.9398173	12.490094	6.1444983	6.602381	-9.414465	0.19592653	0.01925391	0.004016535	0.00311488	0.63506943	0.27723992	0.06246018	0.0026939157
28	139999	5.217921333975262	131.67572	164.41023	452.86612	-1.0	922.40234	533.1026	1430.188	-1.0	10.050794	0.964345	13.575156	6.3571086	6.5364733	-9.906161	0.20090687	0.022104692	0.0011540164	0.002773762	0.6328141	0.2809478	0.061882038	0.00279952
29	144999	5.447150691217846	186.34503	230.74721	672.88776	-1.0	755.39197	553.9336	1449.5978	-1.0	10.811785	0.95784223	13.965185	7.0430064	6.5071297	-10.65143	0.20017064	0.015485636	-0.00068217557	0.0027707398	0.62810105	0.2624875	0.060677685	0.002849797
30	149999	5.712328194975853	161.31691	162.17513	467.29013	-1.0	1154.844	441.76077	1465.9814	-1.0	11.815773	0.94859284	14.929609	8.071238	6.2810764	-11.632858	0.19994219	0.0076653687	-0.001284064	0.0027445534	0.6081451	0.21406062	0.060699683	0.0028419388
31	154999	5.971362122827106	169.9416	174.42552	492.90747	-1.0	1023.2264	458.6116	1474.4478	-1.0	12.558986	0.8547943	15.360896	9.505216	6.364974	-12.345563	0.19802986	0.007314203	-0.0029637646	0.0032786508	0.59592205	0.19158083	0.06229592	0.0028997678
32	159999	6.2171457002560295	229.14171	283.2575	871.37103	-1.0	965.11096	641.2532	1455.0365	-1.0	13.190028	0.8813704	16.029785	9.794	6.51862	-12.957802	0.19801426	0.0069832182	-0.006605055	0.0029110885	0.59695965	0.2035809	0.06338099	0.0028850778
33	164999	6.487569533851412	216.16608	338.07938	1350.772	-1.0	1166.2577	433.7098	1406.0481	-1.0	14.051881	0.8767538	16.842264	10.832321	6.4013014	-13.80175	0.1990163	0.0065649273	-0.008541401	0.0030481606	0.595777	0.20748119	0.0650464	0.0029277585
34	169999	6.732048479517301	312.0766	419.33316	1335.3042	-1.0	927.6789	621.7865	1430.665	-1.6772822	14.843431	0.89948356	17.976086	11.600815	6.8769937	-14.565256	0.19654667	0.0053220405	-0.008736418	0.0028017159	0.5796044	0.16973934	0.06594803	0.0028679257
35	174999	7.008629108932283	344.23187	345.29803	1090.7393	-1.0	1250.69	419.0809	1433.6356	-1.0	15.733836	1.0166115	19.1822	11.807641	6.365207	-15.432958	0.19379406	0.005140752	-0.010616533	0.0031222766	0.5764726	0.16444787	0.066379406	0.0027947696
36	179999	7.282135130895509	294.0054	327.54144	887.92316	-1.0	1202.6027	406.62564	1408.5308	-1.0	16.996452	0.9165402	19.753242	13.601617	6.3741946	-16.6735	0.19159535	0.0050598728	-0.015207547	0.0030147494	0.57457197	0.15808778	0.06875181	0.003042613
37	184999	7.556312747134102	248.39156	333.5253	1118.5369	-1.0	1242.0964	417.0976	1434.7413	-1.0	18.18071	0.99860275	21.493826	14.184598	6.393025	-17.867668	0.1868063	0.0042439504	-0.016072577	0.0034192244	0.571582	0.14736502	0.0701125	0.0026825839
38	189999	7.79957126835982	143.91505	258.1907	964.434	-1.0	954.1315	545.3409	1439.5986	-1.0	19.62068	1.0926862	22.95953	15.086246	6.2546344	-19.330421	0.18535928	0.005032198	-0.01758755	0.003351858	0.57110393	0.13395335	0.0697313	0.0025146604
39	194999	8.055864584114817	198.77615	282.56433	777.28644	-1.0	1077.787	550.7114	1426.3278	-1.0	21.408712	1.0945739	24.93996	17.189316	6.3442225	-21.119429	0.18218921	0.004978356	-0.0182255	0.0034847488	0.5819158	0.14051127	0.0696099	0.0024342337
40	199999	8.320892920626534	146.96559	177.14845	684.5432	-1.0	1092.557	531.02856	1449.3204	-1.0	23.143621	1.1694946	27.025106	18.25653	6.2674875	-22.855576	0.17859076	0.004241555	-0.018249204	0.0033013667	0.58170086	0.1156628	0.07041137	0.0022593513
41	204999	8.536064326961835	115.09025	119.42872	440.60956	-1.0	621.1484	637.2712	1419.4496	-1.0	24.983482	1.1842493	28.476315	19.640587	6.4994946	-24.70363	0.17554826	0.003872326	-0.01805743	0.0031196724	0.5877791	0.12087419	0.07162017	0.0021269047
42	209999	8.748036453260315	157.98358	204.23682	823.6723	-1.0	599.4321	613.1911	1411.0034	-1.0	26.786509	1.2034458	30.418304	20.377897	6.8685923	-26.52135	0.17391409	0.004764931	-0.016237106	0.0035705057	0.5961367	0.13572548	0.07262605	0.0020144281
43	214999	8.944065175520048	182.04642	291.03012	1253.0101	-1.0	430.23114	542.91144	1421.3969	-1.0	28.853512	1.0323039	31.895517	24.37887	5.7171125	-28.607382	0.171221	0.0038693065	-0.013793378	0.0034064276	0.606332	0.123183094	0.07171045	0.0020162142
44	219999	9.13524856209755	148.18314	166.19962	672.944	-1.0	425.65884	522.68463	1084.7485	-1.0	30.5478	0.93186873	33.77318	26.879438	5.988948	-30.29009	0.1669164	0.004434639	-0.013889731	0.003453284	0.61878574	0.1265598	0.073094055	0.0019639095
45	224999	9.340365815361341	97.53233	126.13976	287.1981	-1.0	560.7642	589.2241	1432.045	-1.6799686	32.203495	0.90590805	34.564285	28.269785	6.165996	-31.91935	0.1666869	0.0032237961	-0.015022351	0.003276881	0.62465256	0.13364466	0.075710006	0.0021170445
46	229999	9.546262485318714	144.30516	224.84718	1030.7113	-1.0	574.2956	596.38696	1423.0247	-1.0	33.217636	0.70505947	35.46814	30.436468	5.9921494	-32.932255	0.16768454	0.0031099422	-0.015391232	0.0033282663	0.63005865	0.13949043	0.07583725	0.0019237678
47	234999	9.736960251861149	385.53217	515.618	1387.05	-1.0	467.14307	584.6941	1479.7836	-1.0	34.103214	0.7510943	36.650345	31.008535	5.8129673	-33.8352	0.16637707	0.0031399077	-0.014307159	0.0035608213	0.63534635	0.13341053	0.07501921	0.0019831068
48	239999	9.948847232063612	152.43355	205.42241	624.859	-1.0	628.40344	644.1185	1506.2288	-1.0	34.84701	0.74075764	37.68472	31.931767	5.9869485	-34.567287	0.1670115	0.0031844033	-0.01288307	0.0031128312	0.6449386	0.14569452	0.07468045	0.002022554
49	244999	10.165898416638374	129.42665	158.83426	544.6356	-1.0	686.5159	698.796	1522.689	-1.0	35.532463	0.7592028	38.082005	32.544926	6.2947283	-35.254448	0.1668271	0.0028692696	-0.011757268	0.0029741563	0.6492333	0.14006755	0.075425886	0.001810635
50	249999	10.391649850606917	498.301	534.2541	1456.0876	-1.0	783.6254	656.89294	1503.1713	-1.6808904	36.256283	0.80789846	39.445496	33.440025	6.117205	-35.986923	0.16676077	0.0032586074	-0.010337258	0.0028825384	0.65229106	0.14205772	0.07560127	0.0017877372
51	254999	10.63732254564762	275.13028	284.72974	896.2707	-1.0	1023.09296	678.11816	1554.6414	-1.0	37.07506	0.8154514	39.9176	33.99674	5.943269	-36.80827	0.16834101	0.0035749883	-0.009172481	0.002784319	0.65973616	0.14986344	0.07476113	0.0019479945
52	259999	10.90513624323739	318.85422	328.71423	945.2346	-1.0	1285.8706	486.77792	1567.5133	-1.0	37.60228	0.827143	40.852497	34.12453	6.2546678	-37.332695	0.16950592	0.0036204485	-0.00633693	0.0029236719	0.6635822	0.13024652	0.073226	0.0018794765
53	264999	11.114814764989747	361.9071	355.22784	1002.54297	-1.0	640.10657	646.6309	1507.429	-1.0	38.088757	0.8424946	40.925453	35.013145	6.172322	-37.810024	0.16706704	0.0031923424	-0.005704606	0.0026822237	0.6655914	0.11874649	0.07064439	0.0020680255
