Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
22	109999	3.3089354951514136	23.07374	54.36325	238.39137	-1.0	133.97002	185.97354	427.39185	-1.0	4.748334	0.38605213	6.07827	3.1381962	2.0804393	-4.76367	0.22459584	0.06582587	-0.0053813136	0.0026661677	0.9067551	0.21701746	0.02893338	0.003710164
23	114999	3.47951112833288	34.469315	93.42992	410.16754	-1.0	91.94214	175.90388	451.7176	-1.4601464	5.260315	0.3586989	6.518719	3.3835013	2.5517106	-5.253435	0.22390035	0.06011986	-0.0072609023	0.0025488478	0.91171825	0.22230017	0.027387347	0.003742923
24	119999	3.6764928729666604	38.153835	89.608894	377.0076	-1.5845941	197.65926	230.39508	522.28986	-1.0	5.6369095	0.30935657	6.593723	4.417797	2.330657	-5.60494	0.22382027	0.052610714	-0.009134226	0.002829327	0.9195096	0.22260126	0.026918652	0.003810245
25	124999	3.825642660326428	74.36392	133.03842	471.02927	-1.0	6.043242	9.979889	24.527903	-1.0	5.906623	0.30915418	8.585256	-0.12268432	3.0522683	-5.854736	0.22363697	0.04502553	-0.010195152	0.0025800662	0.930376	0.24429086	0.023811646	0.0037301497
26	129999	4.031241749061478	22.688875	78.60699	469.02667	-1.3956839	190.29102	221.68448	507.79245	-1.0	6.0750732	0.29114145	6.9767585	4.6132984	2.221623	-6.008366	0.22155987	0.03582095	-0.011627121	0.0022962096	0.92208546	0.19675204	0.019073086	0.003629541
27	134999	4.208799936903848	82.959564	143.57637	483.46945	-1.0	126.41689	193.52568	483.1419	-1.0	6.220495	0.31609598	10.29232	2.1031675	4.6587167	-6.1438413	0.21712431	0.030770833	-0.009914209	0.002344354	0.909534	0.1588794	0.017210135	0.0036574784
28	139999	4.381472124987178	76.23661	104.2315	312.51953	-1.0	106.07222	191.11395	493.57788	-1.0	6.550894	0.31689462	8.396376	4.585785	2.0912702	-6.463866	0.21525313	0.037300568	-0.0097466465	0.0024531053	0.90506494	0.18079261	0.014091121	0.0032069741
29	144999	4.529615856806437	32.408047	89.823044	480.5304	-1.3340656	10.074501	14.038688	35.75948	-1.0	6.9773345	0.26419166	8.180865	5.7482786	1.9403297	-6.885136	0.21385503	0.033644553	-0.010243231	0.0025431747	0.88983077	0.16180192	0.0135376435	0.0030714567
30	149999	4.703260445064968	51.727657	101.33512	430.99368	-1.0	99.840385	180.34071	468.5028	-1.0	7.2430053	0.25430644	8.855557	3.9561718	5.625131	-7.144003	0.20943448	0.019852282	-0.0073072463	0.0024951075	0.87434775	0.11103146	0.010422805	0.003290425
31	154999	4.875381164617009	232.2656	193.52362	478.2831	15.415449	106.44891	192.98991	505.23264	-1.0	7.4632015	0.2876283	13.330082	1.5049403	6.476793	-7.357989	0.20732701	0.018806651	-0.009260109	0.0026353025	0.87876916	0.11211465	0.008356577	0.0030007788
32	159999	5.0193838381105	144.22264	149.2956	459.91748	-1.0	3.396359	7.2498446	22.121704	-1.0	7.893595	0.26255766	10.117632	6.5144	2.3022244	-7.790122	0.20824829	0.021784257	-0.010005405	0.0023087556	0.87341857	0.12888418	0.008061473	0.002910996
33	164999	5.200527784029643	23.42812	87.46188	512.9308	-1.0	151.14175	221.67517	497.5205	-1.0	8.414456	0.25637406	9.8089285	0.50977474	3.1065266	-8.305528	0.20781977	0.021180768	-0.009049808	0.0024648823	0.8643384	0.123186454	0.0070082345	0.0026894922
